Job Name,Count
"['at elise,', 'vve', 'camionn']",1, proletaire
['at. de tapissier'],1, proletaire
"['atei', 'électro-mécanique,']",1, proletaire
['auto-écolè'],1, intermediaire
['autos d’occasion'],1, intermediaire
['aven'],1, ???
"['avocat', '-18']",1, élevé
['avocat(bureau)'],1, élevé
"['bactériologistecantonal,']",1, élevé
['banda-giste'],1, élevé
['banq'],1, intermediaire
"['berlha', 'veuve']",1, inactif
['bibliothécaire'],1, intermediaire
['bijoutier'],1, intermediaire
['biscuiterie'],1, intermediaire
['blanchiss'],1, proletaire
['blanchisseur'],1, proletaire
['boiseur'],1, proletaire
['bonne'],1, proletaire
['bonneterie'],1, proletaire
['bottier-cordonnier'],1, intermediaire
['boucheir'],1, proletaire
['bouchère'],1, proletaire
['boucli'],1, proletaire
['boul'],1, proletaire
"['boulanger,']",1, proletaire
['brasseur'],1, proletaire
"['brig,de police']",1, intermediaire
['brigad. police'],1, intermediaire
['bross'],1, proletaire
['brosserie'],1, proletaire
['buraliste'],1, proletaire
"['cafetier', 'café des abattoirs']",1, proletaire
['café de la placed’armes'],1, proletaire
['café des lauriers'],1, proletaire
['café deslauriers.'],1, proletaire
['café du stand'],1, proletaire
['café-brasseriebeauregard'],1, proletaire
['cafés et thés'],1, proletaire
['caissier debanque'],1, proletaire
['camp'],1, ???
['candidat en médecine'],1, inactif
"['cantine descasernes,']",1, proletaire
['cantinier auxcasernes'],1, proletaire
['cantinier des casernes'],1, proletaire
['capitaine-instruct'],1, intermediaire
['capitaine-instructeur'],1, intermediaire
['carrelages et revêtements'],1, proletaire
['carreleur.les crêtes'],1, proletaire
['carrier'],1, proletaire
['carrossiers'],1, proletaire
['casernier'],1, proletaire
['caviste'],1, proletaire
"['chapelier', 'la brune,,rue']",1, intermediaire
['char'],1, proletaire
['charcut'],1, proletaire
['chargeur à lavoirie'],1, proletaire
['charpent'],1, proletaire
"['charpentier', ', 41.']",1, proletaire
"['charpentier', 'épicerie,mercerie']",1, proletaire
"['charretier', 'm. porchet']",1, proletaire
"['chaudronn', '. art']",1, proletaire
['chaudronni'],1, proletaire
['chaudronnier'],1, proletaire
['chauff. camion'],1, proletaire
['chauff. de camion'],1, proletaire
['chauff.a.l.'],1, proletaire
['chauff.au gaz'],1, proletaire
"['chauffage etventilation,']",1, proletaire
['chauffeur auto'],1, proletaire
['chauffeur-livreur'],1, proletaire
['chauffeurmécan.'],1, intermediaire
['chef compt.'],1, élevé
['chef céramique'],1, élevé
['chef de bur.cff'],1, élevé
['chef de gare gff.retr..'],1, inactif
['chef de pensionnat de demois'],1, élevé
"['chef de serv.postal,']",1, élevé
['chef de servicepolice administr'],1, élevé
['chef de silo'],1, élevé
['chef de train c. f.f. retraité'],1, inactif
['chef démarcheuse'],1, élevé
"['chef d’équipett,']",1, élevé
['chef pâtissier'],1, intermediaire
['chefde cuisine'],1, intermediaire
['chiffonnier'],1, proletaire
"['cie s. a.', 'combustibles. mazout']",1, commerce
"['cie,', 'entrepreneurs']",1, intermediaire
['ciment'],1, commerce
['clos des alpes'],1, rien
"['cocher', '-gibert']",1, proletaire
['coi it'],1, proletaire
['coiff'],1, proletaire
"['coiffeur', '. chaucrau.']",1, proletaire
['collaborât.'],1, intermediaire
['com.de poste'],1, intermediaire
"['combustibles,', 'vieuxmétaux. bur. et chant']",1, proletaire
"['comm. c. f. f,.av']",1, intermediaire
['comm. dethés et épices'],1, intermediaire
['comm. postal'],1, intermediaire
['commerc.'],1, proletaire
['commerce decuirs (tanneries'],1, proletaire
['commerç.'],1, proletaire
['commerçante'],1, proletaire
['commis b.c. v'],1, intermediaire
['commis de magasin'],1, proletaire
['commis deposte'],1, intermediaire
['commis doposte'],1, intermediaire
"['commis', 'm. pacbe']",1, intermediaire
"['commis,', 'rose mousse']",1, intermediaire
['commisc.f.f..'],1, intermediaire
['commispost'],1, intermediaire
"['commispostal,']",1, intermediaire
['commiss'],1, intermediaire
['commission'],1, intermediaire
['commissionn'],1, intermediaire
['commissionnaire-portefaix'],1, intermediaire
['compositeur'],1, intermediaire
"['compt.trams,']",1, intermediaire
['comptable dela commune de lausanne'],1, intermediaire
"['comptable,']",1, intermediaire
['cond. cff'],1, intermediaire
['cond. de trav'],1, intermediaire
['cond. d’autobus'],1, intermediaire
['cond. trams'],1, intermediaire
['cond. typo'],1, proletaire
"['conduct', 'trams']",1, intermediaire
"['conduct, postepremier secours']",1, intermediaire
"['conduct, typo']",1, proletaire
['conducteur'],1, proletaire
['conducteur-typo'],1, proletaire
"['conducteurtrams,']",1, proletaire
['conseil en publicité'],1, intermediaire
['constructeurs'],1, proletaire
"['contre-inaîtrrmaçon,']",1, proletaire
"['contremaître maçon', 'rose mousse']",1, proletaire
['contremaître maçon'],1, proletaire
['contremaître'],1, proletaire
"['contremaîtremaçon,']",1, proletaire
['contrôleur dudépartement des travaux publics'],1, élevé
['contrôleurdes écoles'],1, élevé
['copiste'],1, intermediaire
['cordonn'],1, proletaire
"['cordonnier,']",1, proletaire
['corn'],1, ???
['corsetière'],1, proletaire
"['corsets', 'et bonneterie']",1, proletaire
['coulis postal'],1, proletaire
['coupeur fourreur'],1, proletaire
['courtier'],1, proletaire
['coutur..'],1, proletaire
['couvreur'],1, proletaire
['coût'],1, proletaire
['cpl gendarm.'],1, intermediaire
['cpl gendarme'],1, intermediaire
['cuisin.'],1, proletaire
"['cuisinière', ""l'anémone""]",1, proletaire
['culottière'],1, proletaire
['cultivateur'],1, proletaire
['curé de st-joseph'],1, intermediaire
['cycles et motos'],1, commerce
['céramiste'],1, proletaire
['d. de magasin'],1, intermediaire
['dame de réception'],1, proletaire
"['dame', 'articles divers']",1, proletaire
"['dame', 'lingère']",1, proletaire
"['dame', 'organiste']",1, intermediaire
"['dame', 'pension de demoiselles']",1, intermediaire
"['dame', 'professeur de piano']",1, intermediaire
"['dame', 'rent']",1, inactif
"['dame', 'régente']",1, élevé
"['de lausanne,']",1, rien
['de police'],1, intermediaire
"['demoiselle', 'maîtresse d’école particulière']",1, intermediaire
['dente-lière'],1, proletaire
['dentiste'],1, élevé
"['dessin, arch']",1, intermediaire
"['dessinat.-archit,']",1, intermediaire
"['dessinateur', 'la brune']",1, intermediaire
['dessinât'],1, intermediaire
['diaconesse'],1, intermediaire
"['dir. ecole decommerce,']",1, élevé
['dir. imp.vaudoise'],1, élevé
['direct'],1, élevé
"['direct, de l’orphelinat']",1, élevé
['directeur de l’institut desgardes-malades'],1, élevé
['directrice de l’asile «laretraite'],1, élevé
['dlle de magasin'],1, proletaire
